Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,Quantity
TAT-7350,TAT-7350,code128,B PLUS,TAT,PCS,PCS,PCS,7350,7350,1,,Inclusive,795eef3e817f48118eb7546021e44dee.png,,,,,,,,,0
TAT-7450,TAT-7450,code128,B PLUS,TAT,PCS,PCS,PCS,7450,7450,1,,Inclusive,fa71ece1c2f7f06c5c142bdfe8c4b9ea.png,,,,,,,,,0
TAT-750,TAT-750,code128,B PLUS,TAT,PCS,PCS,PCS,750,750,10,,Inclusive,08465c2316f3f5ca4a6b697a3d39c5bc.png,,,,,,,,,0
TAT-7550,TAT-7550,code128,B PLUS,TAT,PCS,PCS,PCS,7550,7550,1,,Inclusive,b4aa513d95efcc7765d874c9819d7821.png,,,,,,,,,0
TAT-7650,TAT-7650,code128,B PLUS,TAT,PCS,PCS,PCS,7650,7650,1,,Inclusive,a9ecb396ed15cff12f416f9c79878ed1.png,,,,,,,,,0
TAT-7750,TAT-7750,code128,B PLUS,TAT,PCS,PCS,PCS,7750,7750,1,,Inclusive,980634fa0cdf40739fd4e1f84f151044.png,,,,,,,,,0
TAT-7850,TAT-7850,code128,B PLUS,TAT,PCS,PCS,PCS,7850,7850,1,,Inclusive,544543c3bf369ec204ac0b1d4511e0b0.png,,,,,,,,,0
TAT-7950,TAT-7950,code128,B PLUS,TAT,PCS,PCS,PCS,7950,7950,1,,Inclusive,dac20868728cdde6b6ee78922550e30d.png,,,,,,,,,0
TAT-8050,TAT-8050,code128,B PLUS,TAT,PCS,PCS,PCS,8050,8050,1,,Inclusive,889fe5e0ab74bcad3bf9918c1c6cdbd8.png,,,,,,,,,0
TAT-8150,TAT-8150,code128,B PLUS,TAT,PCS,PCS,PCS,8150,8150,1,,Inclusive,70446a17955060ae785e0adbe4505d5b.png,,,,,,,,,0
TAT-8250,TAT-8250,code128,B PLUS,TAT,PCS,PCS,PCS,8250,8250,1,,Inclusive,ff628a56a277d0afad6662476ab3a206.png,,,,,,,,,0
TAT-8350,TAT-8350,code128,B PLUS,TAT,PCS,PCS,PCS,8350,8350,1,,Inclusive,80a88444917b1fd3f37bb7381643dd7d.png,,,,,,,,,0
TAT-8450,TAT-8450,code128,B PLUS,TAT,PCS,PCS,PCS,8450,8450,1,,Inclusive,71581291b0e312c3aa228edc9937400c.png,,,,,,,,,0
TAT-850,TAT-850,code128,B PLUS,TAT,PCS,PCS,PCS,850,850,10,,Inclusive,f6a85ef1cafc4d6d26674edda568d13f.png,,,,,,,,,0
TAT-8550,TAT-8550,code128,B PLUS,TAT,PCS,PCS,PCS,8550,8550,1,,Inclusive,8437b832acc3a64e501ba14e0dce15ff.png,,,,,,,,,0
TAT-8650,TAT-8650,code128,B PLUS,TAT,PCS,PCS,PCS,8650,8650,1,,Inclusive,84d644d52a8cd8e08c4d99fe93744929.png,,,,,,,,,0
TAT-8750,TAT-8750,code128,B PLUS,TAT,PCS,PCS,PCS,8750,8750,1,,Inclusive,8cc595bae01b17d65d1468e2edef1867.png,,,,,,,,,0
TAT-8850,TAT-8850,code128,B PLUS,TAT,PCS,PCS,PCS,8850,8850,1,,Inclusive,a77d5e3d2897cb9a088ca20b83599813.png,,,,,,,,,0
TAT-8950,TAT-8950,code128,B PLUS,TAT,PCS,PCS,PCS,8950,8950,1,,Inclusive,ae34332d6b32e787f444e41d9df54742.png,,,,,,,,,0
TAT-9050,TAT-9050,code128,B PLUS,TAT,PCS,PCS,PCS,9050,9050,1,,Inclusive,d584b38c505e8fbc6d49c55019f180a0.png,,,,,,,,,0
TAT-9150,TAT-9150,code128,B PLUS,TAT,PCS,PCS,PCS,9150,9150,1,,Inclusive,58e4270649ab2011fc10f4411ab2a7cc.png,,,,,,,,,0
TAT-9250,TAT-9250,code128,B PLUS,TAT,PCS,PCS,PCS,9250,9250,1,,Inclusive,3dc811f949ba71d5fe1c905a4794b10a.png,,,,,,,,,0
TAT-9350,TAT-9350,code128,B PLUS,TAT,PCS,PCS,PCS,9350,9350,1,,Inclusive,d428e69bd59456b866af75859fe90e70.png,,,,,,,,,0
TAT-9450,TAT-9450,code128,B PLUS,TAT,PCS,PCS,PCS,9450,9450,1,,Inclusive,59e3a7a8568b80bcb0fec1ede69a9933.png,,,,,,,,,0
TAT-950,TAT-950,code128,B PLUS,TAT,PCS,PCS,PCS,950,950,10,,Inclusive,1bd3beb40b5e266a8f82b61e88387087.png,,,,,,,,,0
TAT-9550,TAT-9550,code128,B PLUS,TAT,PCS,PCS,PCS,9550,9550,1,,Inclusive,f8b1b2ca83ec5ad3a26842cf5ef0909d.png,,,,,,,,,0
TAT-9650,TAT-9650,code128,B PLUS,TAT,PCS,PCS,PCS,9650,9650,1,,Inclusive,d6879974641595eb76193bb41f9f9ff3.png,,,,,,,,,0
TAT-9750,TAT-9750,code128,B PLUS,TAT,PCS,PCS,PCS,9750,9750,1,,Inclusive,9b9b000ee6d30592592dc1b29404567a.png,,,,,,,,,0
TAT-9850,TAT-9850,code128,B PLUS,TAT,PCS,PCS,PCS,9850,9850,1,,Inclusive,2459b31a21dede08aefe3309a6d6c392.png,,,,,,,,,0
TAT-9950,TAT-9950,code128,B PLUS,TAT,PCS,PCS,PCS,9950,9950,1,,Inclusive,04e6bc0a747163df9a7e985fc934f606.png,,,,,,,,,0
T.X,TX,code128,B PLUS,T.X,PCS,PCS,PCS,1200,1200,10,,Inclusive,f29b92d66f792015c834c0b38e27bfe8.PNG,,,,,,,,,0
T.Z,TZ,code128,B PLUS,T.Z,PCS,PCS,PCS,1100,1100,10,,Inclusive,e1fefac09d0e2f4c2118c3ab2e17a04a.PNG,,,,,,,,,0
V.I.P,VIP,code128,B PLUS,V.I.P,PCS,PCS,PCS,1000,1000,10,,Inclusive,781afa14032f158c7daad761200f6236.png,,,,,,,,,0
